id, name, descr, url
85, Prentice Hall Professional Technical Reference, "computer science, business, and engineering.", http://www.phptr.com/
86, Primary Source Media, publishes electronic titles that provide easy access and a context for understanding primary sources., http://www.psmedia.com/
87, Prous Science Publishers, "offers textbooks, videos, software, and support materials for occupational and technical training.Prous Science is an information provider in the fields of drug R&D, pharmacology, and medicinal chemistry. Journals, books, and databases covering every aspect of drug development are available.", http://www.prous.es/
88, Reed Chemical Publications, "magazines, reference products and conference organizing for the chemical industry.", http://www.chemicalconferences.com/
89, ReviewCopy.com, serving professors through a recommendation and review copy request service., http://www.reviewcopy.com/
90, "Rowman & Littlefield Publishers, Inc.", "independent academic and scholarly publisher of trade books, textbooks, and monographs in the humanities and social sciences.", http://www.rowmanlittlefield.com/
91, S. Karger AG, medical and scientific publisher., http://www.karger.ch/
92, Sage Publications Ltd, international academic and professional publisher of books and journals., http://www.sagepub.co.uk/
93, Scarecrow Press, publisher of scholarly and reference books in the humanities and social sciences., http://www.scarecrowpress.com/
94, "Science Publishers, Inc.", "publishers in the areas of biological, agricultural, and material sciences.", http://www.scipub.net/
95, Sheen Publishing, specialising in trade and technical magazines in the areas of engineering and construction., http://www.sheen-pub.co.uk/
96, Smithsonian Institution Press, the principal scholarly publishing division of the Smithsonian Institution., http://www.sipress.si.edu/
97, Springer-Verlag New York, "scientific and technical publishers since 1913, in Engineering, Life Sciences, Environmental, and Physical Scienceinternational scientific publishing company, focusing on the fields of neurosurgery, cell biology, neurology, and microchemistry.", http://www.springer-ny.com/
98, TEE Publishing, "offers scientific literature, with a focus on ecology and vegetation science.publisher of a large range of hobbyist technical books and magazines. Stocks a huge number of rare and out of print hobbyist books and magazines.", http://www.fotec.co.uk/mehs/tee/index.html
99, Telecom Publishing, "publishes cellular roaming guides, newsletters, videos, and books about wireless communications.", http://www.telecompublishing.com/
100, Tempest Publishing, "offers handbooks, manuals, documents, and information for countering chemical and biological terrorism.", http://www.chem-bio.com/
101, Thela Thesis Publishers, independent scientific publishing house primarily concerned with Social Sciences., http://www.rozenbergps.com/
102, Thieme Medical Publisher, "publisher of books and journals in print or electronic form in the areas of medicine, chemistry, and related sciences.", http://www.thieme.com/
103, Thoemmes Press, publishers in philosophy and the history of ideas., http://www.thoemmes.com/
104, Transaction Publishers, topics in international social science., http://www.transactionpub.com/
105, Transworld Research Network, publishes science review books., http://www.transworldresearch.com/
106, Twin Press Astronomy Publishers, publish professional astronomy information., http://www.twinpress.nl/
107, UCLA Ethnic Studies Publications Catalog, "small publishing company specializing in textbooks written by professors at the Massachusetts Institute of Technology.independent academic publishers of monographs and textbooks on anthropology, material culture, dress and fashion theory, cultural studies, history, and more.publishes monographs and texts on a range of Humanities subjects, including Egyptology and Middle Eastern, Ancient Near Eastern, and Hispanic studies.interactive, searchable catalog of publications about African American, Chicano/a, and Asian American studies, including nearly three decades of journals.", http://www.sscnet.ucla.edu/esp
108, "University Press of America, Inc.", publishes academic and scholarly monographs in the humanities and social sciences., http://www.univpress.com/
109, University Science Books, "publishes a wide variety of scholarly scientific and technical journals and books.publisher of academic books in astronomy, biology, chemistry, earth and environmental sciences, physics, and technical writing.", http://www.uscibooks.com/
110, "VMS, Inc.", "offers textbooks, videos, software, and support materials for occupational and technical training.", http://www.vms-online.com/
111, "Walter de Gruyter, Inc.", "international academic publishing house based in Berlin. Imprints include Mouton de Gruyter, Aldine de Gruyter, and Sellier.", http://www.degruyter.de/
112, Watson Publishing International, "publishes and distributes books on the history and philosophy of science, medicine, and technology.", http://www.watsonpublishing.com/
113, Whitston Publishing Company, "offering scholarly and general interest books, and the American Humanities Index.", http://www.whitston.com/
114, Whole World Company, "serving professors through a recommendation and review copy request service.run by the Faculty of Education at the University of Western Ontario. Publishes both scholarly monographs and education, and professional books and materials for educators.provides educational and professional language products at university and research level, including a phrase book for writing papers and research.", http://www.wholeworldcompany.com/
115, Wiley InterScience, "online editions of scientific, technical, medical, and professional journals.", http://www.interscience.wiley.com/
116, William Andrew Publishing, "anatomy and physiology, biology, chemistry, earth sciences, and microbiology textbooks.publishers of books for professionals and students in the fields of plastics, semiconductors, chemicals, welding, hard materials, and many more.", http://www.williamandrew.com/
117, Wisdom House Publications Limited, "academic publishing house specializing in social science, business, and politics.", http://www.wisdomhouse.co.uk/
118, World Scientific, publishes books and journals in science and technology., http://www.wspc.com.sg/
